,username,user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,gender,location,birth_date,access_rank,join_date,last_online,stats_mean_score,stats_rewatched,stats_episodes,join_year,age
94515,DarkHeart88,372271,3,1,0,0,1,5.370833333333334,Male,TN,1996-02-25,,2010-08-20 00:00:00,2011-04-09 22:55:00,10.0,0.0,322,2010,25.665315956631257
29533,razorblade81,273663,23,1003,0,1,19,263.3314814814815,Male,MI,1981-03-08,,2009-12-25 00:00:00,2017-09-24 00:01:03,7.66,0.0,15692,2009,40.63355601796079
11073,Cyan87,31825,6,261,30,10,805,60.25486111111111,Male,CO,1987-12-07,,2008-01-16 00:00:00,2018-05-10 08:20:32,7.87,16.0,3709,2008,33.88456905048735
63818,redvikingx,70067,10,5,3,0,1,2.7847222222222223,Male,FL,1978-01-26,,2008-06-20 00:00:00,2016-09-17 08:06:00,7.71,1.0,168,2008,43.74657759281568
54565,anime4lyphe,42451,3,503,0,32,68,143.23263888888889,Male,CA,1989-08-19,,2008-03-11 00:00:00,2013-06-12 18:32:00,7.09,0.0,8717,2008,32.18431716131858
62171,Mikel123q5,375683,66,1202,0,0,28,307.7815972222222,Male,IL,1992-08-20,,2010-08-27 00:00:00,2018-04-09 02:08:22,9.25,32.0,19551,2010,29.180812616361845
14664,Zealouz,51830,7,73,1,4,41,18.490277777777777,Male,MD,1989-10-17,,2008-04-12 00:00:00,2012-08-09 22:12:00,8.24,3.0,1030,2008,32.022779542218814
18480,Ferratacorps,116011,6,107,9,4,2,42.328472222222224,Male,TX,1988-04-27,,2008-11-20 00:00:00,2009-04-29 23:37:00,7.02,2.0,2405,2008,33.49578359434892
54742,paskyx,108240,29,140,4,12,42,37.30902777777778,Male,CA,1989-08-21,,2008-10-25 00:00:00,2012-07-05 21:07:00,8.08,30.0,2279,2008,32.178841309823675
101076,lavi_love,272676,4,18,2,5,3,11.077083333333333,Female,NY,1994-10-20,,2009-12-22 00:00:00,2010-12-21 15:26:00,7.94,0.0,697,2009,27.015113350125944
104942,iVtechboyinpa,1763055,42,156,15,5,194,34.34444444444444,Male,PA,1996-10-24,,2012-11-12 00:00:00,2017-01-29 19:09:00,8.61,0.0,2062,2012,25.002737925747454
16744,thaigers,283237,1,119,14,1,41,29.97361111111111,Female,CA,1997-05-17,,2010-01-15 00:00:00,2017-09-29 11:30:00,7.46,4.0,1923,2010,24.44146314751944
89240,FluffehRin,2851533,6,60,2,4,35,25.741666666666667,Female,HI,1998-02-06,,2013-07-10 00:00:00,2013-11-27 17:39:00,9.36,57.0,1548,2013,23.7159128244442
53479,Kohei26,293830,9,673,5,0,3,163.81377314814813,Male,TX,1991-08-02,,2010-02-12 00:00:00,2018-05-16 18:26:00,8.7,42.0,10132,2010,30.232176103384077
98490,NickyCharisma,1667503,3,105,0,0,28,25.97083333333333,Male,KS,1992-02-26,,2012-10-21 00:00:00,2015-05-06 21:55:00,0.0,3.0,1478,2012,29.662687547913702
92764,That_Zan,1400101,3,124,0,1,9,53.80625,Male,FL,1995-01-03,,2012-07-16 00:00:00,2018-05-13 16:04:00,8.54,0.0,3202,2012,26.809768919066915
9485,GlassToTheArson,31707,1,46,5,7,7,40.69305555555555,Male,KY,1990-02-27,,2008-01-15 00:00:00,2013-06-03 15:59:00,6.84,0.0,2443,2008,31.65863541780747
70567,Moosick,1324589,13,25,7,0,11,11.893055555555556,Female,TN,1996-01-25,,2012-05-30 00:00:00,2015-10-09 18:08:00,8.67,1.0,679,2012,25.75019165480232
60514,TheDragonEmperor,2968395,219,124,0,1,58,64.88125,Male,NY,1999-05-20,,2013-07-31 00:00:00,2017-12-10 14:38:00,8.09,78.0,3980,2013,22.434563574635856
58840,xXHighRyzeXx,4764005,20,45,11,1,211,12.33611111111111,Male,AR,1998-07-02,,2015-07-22 00:00:00,2018-04-28 08:11:12,7.64,0.0,754,2015,23.316175665315956
13831,tozoku,14544,6,178,38,16,221,43.42847222222223,Female,MA,1990-09-25,,2007-09-22 00:00:00,2017-11-14 11:38:00,8.53,17.0,2687,2007,31.083671010842185
7071,KishuuInuLove,3892157,0,214,3,0,88,85.68819444444445,Male,MO,1995-03-14,,2014-07-03 00:00:00,2017-12-18 21:59:00,8.34,3.0,5245,2014,26.618114116745154
20935,xxavbxx,45011,7,100,13,23,37,24.727777777777774,Female,GA,1987-03-15,,2008-03-23 00:00:00,2010-12-08 11:30:00,8.13,0.0,1564,2008,34.6155952250575
3946,SteveStarky,4031919,5,141,4,35,162,43.09583333333333,Male,TX,1997-10-18,,2014-08-19 00:00:00,2018-04-25 16:26:23,7.46,0.0,2595,2014,24.019822582411564
27937,dmon,293131,0,80,0,0,0,39.24652777777778,Male,GA,1991-11-20,,2010-02-10 00:00:00,2017-02-11 14:10:00,7.99,68.0,2342,2010,29.931004271164166
7494,MasterChiefSnake,490506,4,58,33,1,410,11.1625,Male,AZ,1991-01-28,,2011-05-24 00:00:00,2017-03-30 17:50:00,7.94,0.0,679,2011,30.74143029241047
36991,heyoamanda,4752169,9,240,11,28,243,62.41388888888889,Female,WA,1991-06-01,,2015-07-17 00:00:00,2018-04-02 16:06:20,8.47,28.0,3998,2015,30.401927499726206
15440,methehomie,41575,2,3,1,0,5,1.6305555555555555,Female,CA,1988-10-20,,2008-03-07 00:00:00,2014-09-30 02:32:00,9.0,0.0,101,2008,33.013908662797064
71204,CyberSonic716,4428833,7,46,2,0,52,20.04375,Male,RI,1991-04-17,,2015-01-18 00:00:00,2017-11-19 07:28:41,9.74,16.0,1194,2015,30.525134158361624
14101,shirah0shi,446074,3,137,2,10,15,78.38055555555556,Female,PA,1991-06-05,,2011-02-07 00:00:00,2017-12-14 11:09:00,7.8,0.0,4640,2011,30.39097579673639
105602,shadowthorne3,3659733,0,172,9,15,72,51.65208333333333,Female,CA,2000-02-07,,2014-03-27 00:00:00,2018-02-12 22:31:52,7.57,6.0,3289,2014,21.714489103055524
45233,snakeblade31,194153,20,117,10,2,72,50.71180555555556,Male,NY,1986-12-31,,2009-06-14 00:00:00,2017-07-16 13:03:00,7.68,0.0,3168,2009,34.818201730369076
12808,RPD,180223,10,79,3,8,42,49.06805555555555,Male,TN,1970-12-12,,2009-05-08 00:00:00,2018-04-27 17:35:02,7.81,1.0,2886,2009,50.870660387690286
79827,Sabuu,1307631,5,306,0,0,0,127.32916666666668,Female,CA,1999-04-08,,2012-05-18 00:00:00,2018-04-18 00:42:59,8.39,39.0,7660,2012,22.549556456028913
13971,Acriman,173971,33,89,45,10,147,19.261805555555554,Male,MA,1993-02-08,,2009-04-22 00:00:00,2014-11-20 05:07:00,8.07,2.0,1127,2009,28.7098893877998
75643,GAY4ANIME,216004,1,29,18,3,28,17.8621875,Male,NY,1993-06-11,,2009-08-03 00:00:00,2016-04-12 04:32:13,8.04,0.0,1140,2009,28.373124520862994
16248,Peruviangarl,22218,2,14,0,0,0,12.779861111111112,Female,VA,1992-06-11,,2007-11-16 00:00:00,2007-11-16 22:07:00,8.63,44.0,734,2007,29.372467418683605
107873,Darkmessanger,4553654,10,453,9,1,59,113.62569444444443,Male,CA,1995-02-14,,2015-04-11 00:00:00,2018-05-02 11:04:07,8.87,83.0,6852,2015,26.694776037673858
52610,femalevillain,1628991,11,19,3,0,41,7.772916666666666,Female,MO,1990-01-16,,2012-10-12 00:00:00,2017-10-20 20:02:00,9.3,0.0,457,2012,31.773628299200524
37645,Lunatickr,91199,8,51,7,0,10,11.81597222222222,Male,MD,1991-07-28,,2008-09-01 00:00:00,2008-12-08 18:34:00,7.51,3.0,715,2008,30.245865732121345
79869,Repinski,1086809,7,47,7,0,26,51.28680555555555,Male,WI,1994-07-25,,2012-01-03 00:00:00,2018-05-04 23:42:33,7.47,0.0,3101,2012,27.25331289015442
88699,shipoffools,282427,39,449,3,0,15,151.91180555555556,Male,MD,1984-09-13,,2010-01-13 00:00:00,2013-09-13 06:32:00,6.85,0.0,8877,2010,37.11532143248275
86716,Najuyi,1407433,5,50,0,0,2,16.75347222222222,Male,WA,1995-05-27,,2012-07-19 00:00:00,2012-08-16 00:55:00,8.04,0.0,1010,2012,26.41550761143358
52094,Mysis92,2916,17,165,18,7,114,62.42430555555556,Female,IL,1992-11-17,,2007-04-08 00:00:00,2018-05-15 06:14:45,7.91,0.0,3711,2007,28.937137224838462
1968,PSIJunkie,192825,7,53,17,2,91,17.408333333333335,Male,FL,1993-03-17,,2009-06-11 00:00:00,2010-06-21 00:39:00,7.53,0.0,1002,2009,28.608586135144016
37636,soulmakaprincess,42944,2,181,4,46,15,70.23819444444445,Female,FL,1991-06-06,,2008-03-14 00:00:00,2014-09-24 11:47:00,7.53,19.0,4182,2008,30.388237870988938
96626,Charliechokeface,262398,3,21,0,1,54,6.700694444444444,Female,FL,1993-12-12,,2009-11-24 00:00:00,2018-03-12 04:14:46,7.67,0.0,395,2009,27.86934618333151
10611,Jalal,26860,11,209,11,14,20,103.11319444444445,Male,MN,1990-06-10,,2007-12-19 00:00:00,2018-03-28 11:08:38,7.23,14.0,6119,2007,31.376629065819735
47524,Tatiana902,120055,2,0,0,0,0,2.083333333333333,Female,IN,1994-05-22,,2008-12-03 00:00:00,2010-03-04 10:34:00,9.5,5.0,125,2008,27.428540137991458
65864,studiotrigger,4781593,31,146,3,10,109,61.16180555555555,Female,WA,1996-05-24,,2015-07-30 00:00:00,2018-04-24 00:46:09,6.37,20.0,3642,2015,25.421640565107875
98830,abbae,5366380,3,75,2,0,173,22.71736111111111,Female,OH,1997-11-01,,2016-04-25 00:00:00,2017-12-01 11:35:00,8.86,8.0,1384,2016,23.981491621947214
68099,Bananaboy12,3474769,3,256,3,56,317,93.73472222222222,Male,WA,1998-02-10,,2014-01-09 00:00:00,2018-05-20 21:13:00,7.72,0.0,5608,2014,23.704961121454385
99382,SteamHawke,1194199,0,11,0,0,2,3.827777777777778,Male,TX,1990-01-20,,2012-03-11 00:00:00,2012-04-09 07:04:00,8.64,3.0,227,2012,31.76267659621071
99825,Karurosu047,4704784,6,81,0,0,11,38.4875,Male,FL,1992-07-21,,2015-06-28 00:00:00,2015-08-03 15:44:00,7.96,10.0,2292,2015,29.262950388785455
52479,SlayerJim,443303,13,655,48,13,425,126.24158564814816,Male,CA,1991-01-25,,2011-02-01 00:00:00,2018-05-19 08:59:00,6.87,0.0,7550,2011,30.74964406965283
26817,vampirekid,156543,10,40,0,0,0,17.127083333333335,Male,MI,1990-10-19,,2009-03-05 00:00:00,2013-02-26 13:56:00,9.23,4.0,1010,2009,31.017960792903295
76608,cajeck,141278,7,83,10,28,28,26.93402777777778,Female,CA,1988-12-07,,2009-01-20 00:00:00,2014-12-21 04:53:50,6.92,3.0,1529,2009,32.882488226919286
24771,Malwave,5108830,6,70,3,0,40,32.21597222222222,Female,CO,1995-10-01,,2016-01-07 00:00:00,2018-05-02 01:38:51,8.11,0.0,2006,2016,26.067791041506954
99803,baekon_eggyeol,512613,10,38,0,0,0,17.417361111111113,Female,CA,1994-10-16,,2011-07-13 00:00:00,2012-05-06 15:34:00,8.6,8.0,1052,2011,27.026065053115758
50233,Azai392,33793,1,72,3,2,194,35.490972222222226,Male,MO,1989-09-28,,2008-01-27 00:00:00,2014-07-09 23:05:31,8.81,15.0,2063,2008,32.07480013142044
50105,japaneze,14303,45,42,13,3,42,23.07847222222222,Female,FL,1982-06-07,,2007-09-20 00:00:00,2015-01-04 15:22:00,7.17,106.0,1335,2007,39.38506187712189
80167,Rin10th,5688560,6,71,3,8,107,25.82986111111111,Non-Binary,TX,2002-01-13,,2016-09-11 00:00:00,2018-04-26 17:14:44,7.86,14.0,1600,2016,19.781513525353194
47891,Hironoga,193351,2,291,14,2,26,66.92083333333333,Male,IN,1985-02-10,,2009-06-12 00:00:00,2018-04-09 19:08:38,7.7,0.0,4008,2009,36.704632570364694
82540,ironherc,1106459,23,357,38,57,62,114.26458333333332,Male,CA,1990-08-20,,2012-01-16 00:00:00,2018-05-18 05:59:50,6.99,0.0,6812,2012,31.18223633775052
80022,KristyTsukiyomi,3272307,62,115,4,0,15,43.24097222222223,Female,NV,1993-01-02,,2013-10-19 00:00:00,2014-12-03 19:21:00,8.5,0.0,2706,2013,28.81119264045559
27531,cop9797,1901950,17,186,8,4,32,33.06008101851852,Male,CO,1994-12-31,,2012-12-15 00:00:00,2018-05-01 10:37:51,7.49,29.0,2067,2012,26.817982696309276
95071,shonenanimefan,3724335,10,2,0,0,6,7.355555555555555,Male,TX,1998-06-08,,2014-04-23 00:00:00,2014-06-25 05:46:00,8.36,0.0,456,2014,23.381885883254846
77771,Algus,100256,4,46,7,3,1,12.172222222222222,Male,AZ,1985-05-31,,2008-09-30 00:00:00,2010-06-08 06:17:00,7.35,1.0,666,2008,36.40346073814478
27594,Kohailicious,3376503,100,143,0,0,366,32.06840277777778,Male,FL,1997-11-29,,2013-12-01 00:00:00,2016-05-23 02:59:59,8.09,0.0,1952,2013,23.904829701018507
13474,HayateHatsune,1517131,112,464,47,0,42,117.27916666666668,Male,WA,1976-12-19,,2012-09-16 00:00:00,2018-05-12 21:27:48,7.64,0.0,7037,2012,44.84996166903954
67678,kinoxd,72947,22,155,0,4,22,43.40138888888889,Male,FL,1993-05-24,,2008-06-30 00:00:00,2016-01-29 21:07:00,9.69,0.0,2673,2008,28.422407184317162
48505,creamary,184895,7,1,0,0,0,2.227777777777778,Female,TX,1998-08-28,,2009-05-21 00:00:00,2014-06-18 10:52:00,7.88,0.0,134,2009,23.160113897711096
90126,Odess,1881302,11,85,13,0,34,56.06597222222222,Male,TX,1991-12-10,,2012-12-10 00:00:00,2017-10-12 22:07:00,8.9,0.0,3302,2012,29.87624575621509
97513,ashketchum64,94294,8,19,0,0,70,7.679861111111111,Male,OK,1989-05-30,,2008-09-12 00:00:00,2016-12-26 19:00:00,8.07,1.0,442,2008,32.406089146862335
32222,lico,82657,15,125,7,0,31,40.99097222222223,Female,GA,1987-02-27,,2008-08-04 00:00:00,2017-12-04 04:21:00,8.79,0.0,2413,2008,34.659402037016754
8378,ChopSquad,295261,7,56,0,0,2,18.32777777777778,Male,TX,1986-10-27,,2010-02-16 00:00:00,2010-07-11 05:55:00,7.88,0.0,1059,2010,34.996166903953565
33785,Neni07,3234431,11,146,11,5,10,65.57638888888889,Female,TX,1993-11-07,,2013-10-08 00:00:00,2016-02-07 23:06:57,7.61,106.0,4033,2013,27.965173584492387
93195,Austin-kun,4207367,9,124,19,20,125,29.442650462962963,Male,GA,1995-12-16,,2014-10-26 00:00:00,2017-10-19 02:07:29,6.23,6.0,1762,2014,25.859708684700472
624,UnltdBldWrx,387421,27,568,20,11,190,166.35416666666666,Male,TX,1985-10-07,,2010-09-24 00:00:00,2018-05-10 06:43:06,7.92,54.0,9886,2010,36.05026831672325
88925,nobodysdawn,3061667,33,891,31,122,759,270.4743055555556,Female,OH,1997-03-12,,2013-08-17 00:00:00,2018-05-23 17:25:13,6.36,231.0,16535,2013,24.622166246851386
46706,star0678,339353,23,21,2,2,19,20.48819444444445,Female,CO,1998-05-02,,2010-06-09 00:00:00,2011-02-18 21:22:00,8.62,0.0,1224,2010,23.483189135910635
62544,Mori-Rauko-Tura,83453,12,134,14,16,502,25.61875,Male,KS,1992-02-05,,2008-08-06 00:00:00,2017-12-01 16:36:45,7.66,15.0,1772,2008,29.72018398861023
24540,Philacerate,5474457,8,53,17,10,24,13.338194444444444,Female,IA,2002-05-17,,2016-06-13 00:00:00,2018-01-21 18:03:07,7.93,16.0,886,2016,19.44201073266893
38930,OniSamurai,354546,10,65,8,0,5,23.352083333333333,Male,MI,1985-02-08,,2010-07-12 00:00:00,2015-06-29 16:23:00,7.58,2.0,1392,2010,36.7101084218596
93187,Sneazy,330731,6,65,1,0,188,16.909027777777776,Male,AR,1991-10-15,,2010-05-19 00:00:00,2014-02-04 17:53:00,8.03,0.0,972,2010,30.0295695980725
95619,ravenhawk2087,2317163,0,2,0,0,0,1.2493055555555554,Male,NY,1987-01-02,,2013-03-18 00:00:00,2013-03-25 15:34:00,9.5,1.0,76,2013,34.81272587887417
9318,Valucia,389427,6,12,0,0,7,12.956944444444444,Female,WA,1992-07-09,,2010-09-29 00:00:00,2012-11-23 09:20:00,8.29,0.0,772,2010,29.295805497754902
20536,Suzuki_Yachiyama,2153585,3,28,1,1,3,15.72222222222222,Female,MA,1999-02-06,,2013-02-08 00:00:00,2013-04-22 17:12:00,8.13,10.0,941,2013,22.71656992662359
32582,Shadow0050,310408,13,323,28,8,35,86.48194444444445,Male,CA,1992-12-29,,2010-03-30 00:00:00,2018-05-16 17:37:19,8.77,61.0,5420,2010,28.822144343445405
98465,Inagami,4083945,1,2,0,0,0,0.5263888888888889,Male,TX,1999-02-20,,2014-09-08 00:00:00,2014-09-09 04:52:00,7.33,0.0,32,2014,22.67823896615924
23046,DeeTrayn,121588,0,118,10,21,13,49.725,Male,MI,1990-12-18,,2008-12-08 00:00:00,2017-11-09 13:34:45,7.59,21.0,3002,2008,30.853685248056074
42107,Kurai_Anshou,76647,8,30,8,3,15,13.165277777777778,Female,UT,1995-07-01,,2008-07-14 00:00:00,2009-05-03 12:59:00,8.56,3.0,750,2008,26.319680210272697
72504,gulmunthos,72264,21,217,34,28,18,50.489583333333336,Male,WI,1986-03-27,,2008-06-28 00:00:00,2014-06-14 01:06:00,6.75,32.0,2899,2008,35.582083013908665
21393,BioMecha,2057645,13,187,1,1,200,58.01319444444445,Male,FL,1998-01-13,,2013-01-18 00:00:00,2018-04-29 01:19:22,7.75,0.0,3390,2013,23.781623042383092
56478,kaitokidd,2342135,0,9,0,0,0,3.417361111111111,Male,CA,1995-08-12,,2013-03-24 00:00:00,2013-03-31 17:02:00,7.56,17.0,207,2013,26.20468732887964
4280,Patterson,36678,6,160,1,0,1,68.62083333333334,Male,OH,1989-03-13,,2008-02-10 00:00:00,2015-10-23 09:26:00,8.42,0.0,4054,2008,32.61964735516373
77376,anatawabaka66,82015,1,30,2,2,44,7.30625,Male,UT,1980-04-27,,2008-08-01 00:00:00,2009-01-02 19:23:00,8.94,2.0,438,2008,41.49600262840872
64216,AngelOfDeath,48506,11,9,1,0,0,9.865972222222222,Male,OH,1993-08-11,,2008-04-06 00:00:00,2008-04-08 23:13:00,8.75,118.0,601,2008,28.206111050268316
63296,Tab00,1500047,2,53,0,12,11,35.44513888888889,Male,GA,1990-01-15,,2012-09-07 00:00:00,2016-09-22 00:25:00,7.61,0.0,2151,2012,31.776366224947978
4142,Huffyfluffy,214569,10,69,15,7,26,23.997916666666665,Male,NY,1996-07-22,,2009-07-30 00:00:00,2015-01-31 09:12:00,7.34,0.0,1446,2009,25.260102946008104
81960,star12349999,227967,1,0,0,0,0,0.6076388888888888,Female,FL,1997-05-13,,2009-08-30 00:00:00,2009-09-10 21:15:00,10.0,0.0,35,2009,24.452414850509253
47214,RazorBeamz,90307,22,159,19,12,35,37.00868055555556,Male,GA,1992-08-17,,2008-08-29 00:00:00,2018-05-06 23:53:11,8.35,1.0,2152,2008,29.189026393604205
34121,Zeser,2807215,56,250,17,20,23,134.0298611111111,Male,NJ,2001-04-02,,2013-07-02 00:00:00,2017-10-09 20:16:00,7.52,0.0,8097,2013,20.56456028912496
21371,Nanatsuya6523,55623,1,272,5,119,20,61.359722222222224,Male,MD,1984-10-22,,2008-04-24 00:00:00,2014-03-07 11:49:00,6.44,289.0,3597,2008,37.008542328332055
8158,Ehegi,384603,15,405,4,2,10,106.14722222222224,Male,CT,1983-08-26,,2010-09-18 00:00:00,2017-11-04 07:12:00,8.17,30.0,6322,2010,38.16668491950498
61530,Iamtheecchiking,4477277,4,175,24,73,114,38.86337962962963,Male,OK,1994-03-16,,2015-02-21 00:00:00,2018-03-16 05:22:50,8.01,0.0,2410,2015,27.61198116307086
24980,MangaReader3686,6989714,2,8,0,2,3,2.1631944444444446,Non-Binary,CA,2003-03-22,,2018-02-17 00:00:00,2018-05-05 17:40:31,8.8,0.0,132,2018,18.59599167670573
32931,jay8wonder,187153,31,95,23,16,26,42.34652777777778,Male,CA,1987-11-07,,2009-05-27 00:00:00,2016-05-31 04:26:00,7.97,0.0,2476,2009,33.966706822910965
34397,PBnSpots,214610,8,255,53,11,54,98.43402777777776,Female,IN,1994-03-23,,2009-07-30 00:00:00,2018-05-13 07:29:44,7.67,36.0,6128,2009,27.59281568283868
17412,Mikhal001R,124509,15,115,1,0,50,34.84722222222222,Male,MI,1982-09-04,,2008-12-17 00:00:00,2015-09-22 08:42:00,8.21,271.0,1978,2008,39.14138648559851
21733,CherryCreamAngel,5264964,8,20,1,3,11,29.714583333333334,Female,NJ,2001-12-04,,2016-03-15 00:00:00,2017-06-06 16:04:00,8.75,3.0,1809,2016,19.89103055525134
78212,caprisun888,410996,5,392,50,14,120,92.27361111111112,Male,CT,1992-10-23,,2010-11-22 00:00:00,2017-10-22 07:54:13,7.41,20.0,5509,2010,29.005585368524805
8260,Dwaing,4469242,10,139,5,3,67,50.43680555555556,Male,CA,1996-09-06,,2015-02-15 00:00:00,2018-01-31 06:03:52,7.97,14.0,2987,2015,25.134158361625232
102633,lodestar,41056,12,41,2,0,7,16.169444444444444,Male,CA,1985-09-06,,2008-03-04 00:00:00,2009-12-21 00:01:00,7.31,0.0,915,2008,36.135144014894315
4900,MatsuriSunrise,38526,2,208,29,28,47,40.37847222222222,Male,IN,1990-02-09,,2008-02-20 00:00:00,2016-05-22 18:51:00,7.96,10.0,2389,2008,31.707918081261635
68737,Sovereigns,1596459,56,334,11,0,114,83.56041666666667,Male,SD,1992-03-07,,2012-10-06 00:00:00,2018-05-20 20:31:00,7.39,16.0,4882,2012,29.635308290439163
24811,Redire,2655897,3,473,9,27,225,94.4875347222222,Male,WA,1996-08-05,,2013-06-02 00:00:00,2018-04-20 04:48:43,6.21,30.0,5620,2013,25.221771985543754
64350,Radamus,4906578,3,122,2,8,42,42.293055555555554,Male,NC,1976-07-19,,2015-09-29 00:00:00,2018-05-20 16:11:00,7.72,0.0,2554,2015,45.268864308399955
30866,vanessasaurus555,799739,10,242,12,10,183,98.14583333333331,Female,TX,1998-05-05,,2011-10-23 00:00:00,2018-05-18 19:29:00,8.47,0.0,6086,2011,23.474975358668274
20525,KarimFares,5452152,1,99,1,40,80,34.24444444444445,Male,MI,2000-11-09,,2016-06-03 00:00:00,2018-04-30 03:08:38,6.47,0.0,2089,2016,20.958821596758295
88140,YeezyBoost350,6586928,4,158,16,64,53,42.7,Male,VA,1997-01-25,,2017-09-26 00:00:00,2018-05-23 18:30:04,5.48,11.0,2565,2017,24.748110831234257
79675,abudahm,3894127,2,24,0,0,0,20.529166666666665,Male,PA,1988-07-06,,2014-07-04 00:00:00,2015-07-02 19:37:49,8.31,0.0,1225,2014,33.30412879202716
43757,Spirit18,92338,1,5,0,0,5,5.659722222222222,Female,AZ,1989-09-19,,2008-09-05 00:00:00,2008-09-28 17:14:00,9.67,0.0,335,2008,32.09944146314752
3472,IAmTheKyuubi95,4441837,2,161,0,19,22,36.97296296296296,Female,TX,1995-11-13,,2015-01-25 00:00:00,2018-03-14 22:15:56,7.45,0.0,2295,2015,25.950060234366443
31711,Scoobygirl45,3729211,7,6,0,1,5,13.244444444444444,Female,NE,1998-04-18,,2014-04-25 00:00:00,2016-06-04 18:48:00,9.18,11.0,810,2014,23.521520096374985
53239,Bram619,1123823,1,20,1,0,0,4.260416666666667,Male,WI,1992-09-25,,2012-01-28 00:00:00,2012-04-30 07:27:00,8.5,0.0,231,2012,29.08224728945351
35490,KYplusEL,5847654,10,66,3,0,229,14.655555555555557,Male,UT,1998-06-11,,2016-11-19 00:00:00,2018-05-19 22:35:40,7.39,31.0,897,2016,23.373672106012485
21266,Aerojunki,88238,1,33,6,0,4,7.851388888888889,Female,PA,1983-11-22,,2008-08-22 00:00:00,2009-02-10 11:33:00,7.11,42.0,411,2008,37.92574745372905
15764,DepressedTsukasa,152121,9,279,10,9,23,93.33333333333331,Male,CA,1991-07-20,,2009-02-21 00:00:00,2017-05-12 20:32:00,8.01,0.0,5622,2009,30.267769138100974
2789,ChibiRini,90248,1,13,0,0,0,10.258333333333333,Female,NJ,1990-12-01,,2008-08-29 00:00:00,2009-04-07 11:38:00,7.71,7.0,622,2008,30.900229985762785
63705,IEuric,3624209,8,164,5,1,4,49.37847222222222,Male,PA,1996-07-22,,2014-03-10 00:00:00,2017-07-12 12:52:28,8.61,6.0,3010,2014,25.260102946008104
48211,Sol_Citadel,68771,4,6,0,0,0,4.4875,Female,AK,1987-10-31,,2008-06-15 00:00:00,2008-07-30 17:07:00,0.0,0.0,271,2008,33.98587230314314
67580,Macha,155160,1,4,0,0,5,5.263194444444444,Female,TX,1993-04-09,,2009-03-01 00:00:00,2011-03-06 15:39:00,8.5,0.0,326,2009,28.54561384295258
17998,xobunny,9631,0,10,2,0,4,3.4097222222222223,Female,WA,1991-01-28,,2007-08-07 00:00:00,2008-09-07 19:43:00,7.83,12.0,198,2007,30.74143029241047
